,نوع العقار,الغرض,المدينة,الحي,الواجهة,المساحة,سعر المتر,السعر الإجمالي
1430,أرض,سكني,الرياض, حي عريض ,شمالية شرقية,450,822.0,369900
1431,أرض,سكني,الرياض, حي المهدية ,غربية,375,822.0,308250
1432,أرض,سكني,الرياض, الرياض ,شمالية شرقية,240,822.0,197280
1433,أرض,تجاري,الرياض, حي ظهرة لبن ,شمالية غربية,900,2050.0,1845000
1434,أرض,تجاري,الرياض, حي الشفا ,غربية,675,1500.0,1012500
1435,أرض,تجاري,الرياض, حي المهدية ,غربية,675,1500.0,1012500
1436,أرض,تجاري,الرياض, الرياض ,شمالية,750,1266.0,949500
1437,أرض,تجاري,الرياض, حي عريض ,غربية,216,810.0,174960
1438,أرض,تجاري,الرياض, حي المهدية ,شمالية,299,3350.0,1001650
1439,أرض,تجاري,الرياض, حي بنبان ,شرقية,800,1625.0,1300000
1440,أرض,تجاري وسكني,الرياض, الرياض ,شمالية,3000,1700.0,5100000
1441,أرض,تجاري وسكني,الرياض, حي العارض ,شمالية,630,4500.0,2835000
1442,أرض,تجاري وسكني,الرياض, حي الخير ,شرقية,938,2000.0,1876000
1443,أرض,تجاري وسكني,الرياض, حي النرجس ,شمالية,450,5400.0,2430000
1444,أرض,تجاري وسكني,الرياض, حي ظهرة لبن ,جنوبية,900,1222.0,1099800
1445,أرض,تجاري وسكني,الرياض, حي النرجس ,شرقية,360,4500.0,1620000
1446,أرض,تجاري وسكني,الرياض, حي النرجس ,شرقية,1,1400.0,1400
1447,أرض,تجاري وسكني,الرياض, حي ظهرة لبن ,جنوبية غربية,1200,1400.0,1680000
1448,أرض,سكني,الرياض, العيينة ,شمالية,750,2600.0,1950000
1449,أرض,سكني,الرياض, الرياض ,جنوبية,483,1138.0,549654
1451,أرض,سكني,الرياض, حي بنبان ,شمالية,800,2712.0,2169600
1452,أرض,سكني,الرياض, حي بدر ,شرقية,420,1050.0,441000
1453,أرض,سكني,الرياض, الرياض ,شرقية,918,1050.0,963900
1454,أرض,سكني,الرياض, الرياض ,غربية,414,724.0,299736
1455,أرض,سكني,الرياض, حي الروضة ,جنوبية,900,5778.0,5200200
1456,أرض,سكني,الرياض, الرياض ,شرقية,450,890.0,400500
1457,أرض,سكني,الرياض, حي نمار ,غربية,341,890.0,303490
1458,أرض,سكني,الرياض, حي الحزم ,شمالية,600,890.0,534000
1459,أرض,سكني,الرياض, حي المهدية ,شمالية,450,2225.0,1001250
1460,أرض,سكني,الرياض, العيينة ,شمالية شرقية,500,2225.0,1112500
1461,أرض,سكني,الرياض, حي الحزم ,غربية,525,2225.0,1168125
1463,أرض,سكني,الرياض, العيينة ,شمالية,750,3200.0,2400000
1464,أرض,سكني,الرياض, الرياض ,شرقية,375,1666.0,624750
1466,أرض,سكني,الرياض, حي المروة ,شمالية شرقية,1000,2600.0,2600000
1467,أرض,سكني,الرياض, الرياض ,شمالية,750,1306.0,979500
1468,أرض,سكني,الرياض, حي النرجس ,شمالية,1110,1306.0,1449660
1469,أرض,سكني,الرياض, حي قرطبة ,شرقية,1250,6500.0,8125000
1470,أرض,سكني,الرياض, الرياض ,جنوبية,337,1100.0,370700
1471,أرض,سكني,الرياض, حي النرجس ,شمالية,370,4500.0,1665000
1473,أرض,سكني,الرياض, حي النسيم الغربي ,جنوبية غربية,225,2223.0,500175
1474,أرض,سكني,الرياض, حي المهدية ,شمالية,300,3335.0,1000500
1475,أرض,سكني,الرياض, ملهم ,جنوبية,375,3335.0,1250625
1476,أرض,سكني,الرياض, حي العارض ,جنوبية,916,3335.0,3054860
1477,أرض,سكني,الرياض, حي العارض ,جنوبية,300,3335.0,1000500
1478,أرض,سكني,الرياض, ضاحية نمار ,شرقية,225,3335.0,750375
1479,أرض,سكني,الرياض, ضاحية نمار ,شمالية,360,5900.0,2124000
1480,أرض,سكني,الرياض, حي العارض ,شمالية,336,4500.0,1512000
1481,أرض,سكني,الرياض, حي البيان ,جنوبية,273,2570.0,701610
1482,أرض,سكني,الرياض, حي العارض ,جنوبية,336,4500.0,1512000
1483,أرض,سكني,الرياض, حي البيان ,جنوبية,273,2500.0,682500
1484,أرض,سكني,الرياض, حي النظيم ,جنوبية,833,1570.0,1307810
1485,أرض,سكني,الرياض, حي طيبة ,شرقية,295,1300.0,383500
1486,أرض,سكني,الرياض, حي ظهرة لبن ,شرقية,360,2800.0,1008000
1487,أرض,سكني,الرياض, حي المهدية ,شمالية,299,3330.0,995670
1490,أرض,سكني,الرياض, حي الروضة ,شمالية غربية,750,4200.0,3150000
1491,أرض,سكني,الرياض, حي الروضة ,غربية,900,444.0,399600
1492,أرض,سكني,الرياض, حي المهدية ,شمالية,456,2446.0,1115376
1493,أرض,سكني,الرياض, العيينة ,شمالية شرقية,500,2446.0,1223000
1494,أرض,سكني,الرياض, حي الخليج ,شمالية شرقية,648,2446.0,1585008
1495,أرض,سكني,الرياض, حي العارض ,شمالية,300,4100.0,1230000
1496,أرض,سكني,الرياض, حي الخليج ,شمالية شرقية,648,4100.0,2656800
1497,أرض,سكني,الرياض, الرياض ,جنوبية شرقية,828,4100.0,3394800
1498,أرض,سكني,الرياض, الرياض ,شمالية,500,1700.0,850000
1499,أرض,سكني,الرياض, حي ظهرة لبن ,جنوبية,606,1700.0,1030200
1500,أرض,سكني,الرياض, حي العوالي ,جنوبية,660,1700.0,1122000
1501,أرض,سكني,الرياض, حي النرجس ,جنوبية,360,5000.0,1800000
1502,أرض,سكني,الرياض, الرياض ,جنوبية,360,5000.0,1800000
1503,أرض,سكني,الرياض, الرياض ,جنوبية,736,1358.0,999488
1504,أرض,سكني,الرياض, حي النرجس ,شرقية,375,1358.0,509250
1505,أرض,سكني,الرياض, الرياض ,شمالية,705,1358.0,957390
1508,أرض,سكني,الرياض, حي الخير ,شرقية,800,2750.0,2200000
1509,أرض,سكني,الرياض, حي الخير ,جنوبية,800,1812.0,1449600
1510,أرض,سكني,الرياض, حي الخليج ,شمالية شرقية,648,3500.0,2268000
1511,أرض,سكني,الرياض, حي المهدية ,شمالية,405,3500.0,1417500
1512,أرض,سكني,الرياض, الرياض ,شرقية,750,1500.0,1125000
1513,أرض,سكني,الرياض, الرياض ,شمالية,1627,1500.0,2440500
1514,أرض,سكني,الرياض, الرياض ,شمالية,1627,1500.0,2440500
1515,أرض,سكني,الرياض, الرياض ,شمالية,752,1500.0,1128000
1517,أرض,سكني,الرياض, حي الخير ,شرقية,750,1450.0,1087500
1518,أرض,سكني,الرياض, حي عريض ,جنوبية,405,1000.0,405000
1519,أرض,سكني,الرياض, حي المهدية ,جنوبية,450,1822.0,819900
1520,أرض,سكني,الرياض, ,شمالية,343,2871.0,984753
1521,أرض,سكني,الرياض, حي الصحافة ,شمالية,343,2871.0,984753
1523,أرض,سكني,الرياض, حي المهدية ,شمالية,456,4500.0,2052000
1524,أرض,سكني,الرياض, حي المهدية ,شرقية,375,2000.0,750000
1525,أرض,سكني,الرياض, حي الفلاح ,غربية,800,6500.0,5200000
1526,أرض,سكني,الرياض, حي المحمدية ,جنوبية,360,7900.0,2844000
1527,أرض,سكني,الرياض, الرياض ,شمالية,375,1306.0,489750
1528,أرض,تجاري وسكني,الرياض, حي العزيزية ,غربية,720,2153.0,1550160
1529,أرض,تجاري وسكني,الرياض, حي الدفاع ,جنوبية شرقية,1225,2000.0,2450000
1530,أرض,تجاري وسكني,الرياض, حي بدر ,جنوبية غربية,874,2000.0,1748000
1532,أرض,تجاري وسكني,الرياض, حي النرجس ,جنوبية,375,2000.0,750000
1533,أرض,تجاري وسكني,الرياض, حي الجنادرية ,جنوبية,375,2000.0,750000
1534,أرض,تجاري وسكني,الرياض, حي الجنادرية ,شمالية,299,2000.0,598000
1536,أرض,تجاري وسكني,الرياض, الرياض ,شرقية,440,2954.0,1299760
1537,أرض,تجاري وسكني,الرياض, ضاحية نمار ,شمالية شرقية,375,1200.0,450000
1538,أرض,تجاري وسكني,الرياض, حي اليرموك ,جنوبية,1089,1200.0,1306800
1539,أرض,تجاري وسكني,الرياض, الرياض ,غربية,750,507.0,380250
1540,أرض,تجاري وسكني,الرياض, الرياض ,شمالية,750,1333.0,999750
1541,أرض,تجاري وسكني,الرياض, الرياض ,شرقية,216,1333.0,287928
1542,أرض,تجاري وسكني,الرياض, الرياض ,شمالية شرقية,425,7500.0,3187500
1543,أرض,تجاري وسكني,الرياض, حي الزهراء ,شمالية,400,7500.0,3000000
1544,أرض,تجاري وسكني,الرياض, حي المهدية ,جنوبية,450,2990.0,1345500
1548,أرض,تجاري وسكني,الرياض, الرياض ,جنوبية غربية,273,2700.0,737100
1549,أرض,تجاري وسكني,الرياض, الرياض ,شمالية,375,1280.0,480000
1550,أرض,تجاري وسكني,الرياض, حي الملقا ,جنوبية غربية,570,7500.0,4275000
1551,أرض,تجاري وسكني,الرياض, الرياض ,غربية,375,7500.0,2812500
1552,أرض,تجاري وسكني,الرياض, الرياض ,شمالية غربية,368,7500.0,2760000
