,نوع العقار,الغرض,المدينة,الحي,الواجهة,المساحة,سعر المتر,السعر الإجمالي
1938,أرض,تجاري,الرياض, حي النرجس ,شمالية,360,4700.0,1692000
1939,أرض,تجاري,الرياض, الرياض ,جنوبية,780,1150.0,897000
1940,أرض,سكني,الرياض, الرياض ,غربية,921,3000.0,2763000
1941,أرض,سكني,الرياض, حي النرجس ,غربية,921,3000.0,2763000
1942,أرض,سكني,الرياض, حي بدر ,جنوبية غربية,527,1300.0,685100
1943,أرض,سكني,الرياض, حي بدر ,غربية,300,5000.0,1500000
1944,أرض,سكني,الرياض, الرياض ,شرقية,438,1484.0,649992
1945,أرض,سكني,الرياض, الرياض ,جنوبية,750,667.0,500250
1946,أرض,سكني,الرياض, حي اليرموك ,غربية,300,3700.0,1110000
1947,أرض,تجاري,الرياض, حي المنار ,غربية,2530,3800.0,9614000
1949,أرض,تجاري,الرياض, حي النرجس ,شمالية شرقية,452,1438.0,649976
1950,أرض,تجاري,الرياض, حي طويق ,شمالية,870,2000.0,1740000
1951,أرض,سكني,الرياض, حي الربوة ,شرقية,434,4000.0,1736000
1952,أرض,سكني,الرياض, الرياض ,شمالية,455,747.0,339885
1953,أرض,سكني,الرياض, الرياض ,جنوبية شرقية,2000,550.0,1100000
1954,أرض,تجاري,الرياض, حي القادسية ,غربية,2400,1700.0,4080000
1955,أرض,تجاري,الرياض, حي القادسية ,شمالية,1246,2000.0,2492000
1956,أرض,سكني,الرياض, حي الملقا ,شمالية شرقية,940,8300.0,7802000
1957,أرض,سكني,الرياض, حي الربوة ,جنوبية شرقية,2500,5000.0,12500000
1958,أرض,سكني,الرياض, حي المعيزلة ,جنوبية شرقية,2500,5000.0,12500000
1959,أرض,سكني,الرياض, حي المصفاة ,شرقية,1600,1000.0,1600000
1960,أرض,سكني,الرياض, حي الرمال ,شرقية,1647,2900.0,4776300
1961,أرض,سكني,الرياض, حي الرمال ,جنوبية,3002,2800.0,8405600
1964,أرض,سكني,الرياض, حي العقيق ,غربية,625,8000.0,5000000
1965,أرض,سكني,الرياض, الرياض ,شمالية,2000,700.0,1400000
1967,أرض,تجاري,الرياض, حي المهدية ,شمالية,800,2625.0,2100000
1968,أرض,تجاري,الرياض, حي القادسية ,جنوبية,2400,5625.0,13500000
1969,أرض,سكني,الرياض, حي المعيزلة ,جنوبية شرقية,704,2500.0,1760000
1970,أرض,سكني,الرياض, حي الملك فهد ,ثلاث شوارع,900,4666.0,4199400
1971,أرض,تجاري وسكني,الرياض, حي المهدية ,شمالية,800,2625.0,2100000
1972,أرض,سكني,الرياض, حي النرجس ,شرقية,375,6500.0,2437500
1973,أرض,سكني,الرياض, حي النرجس ,شمالية,745,469.0,349405
1974,أرض,سكني,الرياض, حي النرجس ,شمالية شرقية,450,6100.0,2745000
1975,أرض,سكني,الرياض, الرياض ,جنوبية غربية,960,1145.0,1099200
1976,أرض,سكني,الرياض, الرياض ,شمالية,675,993.0,670275
1978,أرض,سكني,الرياض, حي المهدية ,شمالية,300,3334.0,1000200
1979,أرض,سكني,الرياض, حي المهدية ,جنوبية,1258,2500.0,3145000
1980,أرض,سكني,الرياض, حي العوالي ,شرقية,900,2400.0,2160000
1981,أرض,سكني,الرياض, حي العوالي ,غربية,904,2400.0,2169600
1982,أرض,سكني,الرياض, حي الاندلس ,جنوبية,501,3500.0,1753500
1983,أرض,سكني,الرياض, حي النرجس ,جنوبية,550,5500.0,3025000
1984,أرض,سكني,الرياض, حي اشبيلية ,شمالية,1050,3400.0,3570000
1985,أرض,سكني,الرياض, حي المونسية ,جنوبية غربية,484,4150.0,2008600
1986,أرض,سكني,الرياض, الرياض ,غربية,400,625.0,250000
1987,أرض,سكني,الرياض, حي طويق ,جنوبية شرقية,1050,1750.0,1837500
1988,أرض,تجاري وسكني,الرياض, حي المهدية ,جنوبية,1650,4500.0,7425000
1989,أرض,تجاري وسكني,الرياض, حي لبن ,جنوبية شرقية,400,5000.0,2000000
1990,أرض,تجاري وسكني,الرياض, حي الرمال ,جنوبية شرقية,400,5000.0,2000000
1991,أرض,سكني,الرياض, الرياض ,شمالية,375,2700.0,1012500
1993,أرض,سكني,الرياض, حي العارض ,جنوبية شرقية,458,4900.0,2244200
1994,أرض,سكني,الرياض, حي الملك فيصل ,جنوبية شرقية,900,4400.0,3960000
1996,أرض,سكني,الرياض, حي العارض ,جنوبية,476,5000.0,2380000
1998,أرض,تجاري وسكني,الرياض, حي ظهرة لبن ,شرقية,900,4000.0,3600000
1999,أرض,تجاري وسكني,الرياض, حي المونسية ,شرقية,750,4300.0,3225000
2001,أرض,تجاري وسكني,الرياض, حي العقيق ,جنوبية,575,6260.0,3599500
2002,أرض,تجاري وسكني,الرياض, حي العقيق ,شمالية,375,1253.0,469875
2003,أرض,سكني,الرياض, الرياض ,شمالية,2520,950.0,2394000
2004,أرض,سكني,الرياض, الرياض ,شرقية,420,607.0,254940
2005,أرض,سكني,الرياض, حي الربيع ,جنوبية,600,6400.0,3840000
2007,أرض,سكني,الرياض, حي الملقا ,شمالية,412,6250.0,2575000
2008,أرض,سكني,الرياض, حي حطين ,جنوبية شرقية,1400,6720.0,9408000
2009,أرض,سكني,الرياض, حي النرجس ,شمالية,900,5100.0,4590000
2010,أرض,سكني,الرياض, حي قرطبة ,جنوبية,571,4850.0,2769350
2011,أرض,سكني,الرياض, حي المروج ,شمالية شرقية,1144,6119.0,7000136
2012,أرض,سكني,الرياض, حي الزاهر ,شمالية شرقية,900,666.0,599400
2013,أرض,سكني,الرياض, حي الزاهر ,غربية,918,816.0,749088
2014,أرض,سكني,الرياض, حي النرجس ,شمالية,900,5200.0,4680000
2015,أرض,سكني,الرياض, حي البيان ,غربية,576,1780.0,1025280
2016,أرض,سكني,الرياض, حي البيان ,أربع شوارع,510,900.0,459000
2018,أرض,تجاري,الرياض, حي اشبيلية ,غربية,930,10000.0,9300000
2019,أرض,تجاري,الرياض, حي جرير ,جنوبية,312,3200.0,998400
2020,أرض,تجاري,الرياض, حي جرير ,شمالية,248,3200.0,793600
2021,أرض,تجاري وسكني,الرياض, حي ظهرة لبن ,جنوبية,750,2600.0,1950000
2022,أرض,تجاري وسكني,الرياض, حي ظهرة لبن ,جنوبية,934,963.0,899442
2023,أرض,سكني,الرياض, الرياض ,ثلاث شوارع,432,1158.0,500256
2024,أرض,سكني,الرياض, حي الجنادرية ,غربية,625,2400.0,1500000
2025,أرض,سكني,الرياض, حي الجنادرية ,جنوبية,375,1600.0,600000
2026,أرض,تجاري,الرياض, حي قرطبة ,جنوبية,2112,6500.0,13728000
2027,أرض,سكني,الرياض, حي قرطبة ,جنوبية غربية,455,1758.0,799890
2028,أرض,تجاري وسكني,الرياض, حي السلي ,جنوبية,2400,2500.0,6000000
2029,أرض,تجاري وسكني,الرياض, حي سلطانة ,جنوبية,2400,2500.0,6000000
2030,أرض,سكني,الرياض, حي الرمال ,غربية,457,2400.0,1096800
2031,أرض,سكني,الرياض, حي النرجس ,شمالية,360,6500.0,2340000
2033,أرض,تجاري وسكني,الرياض, حي الروضة ,ثلاث شوارع,1050,7500.0,7875000
2034,أرض,سكني,الرياض, حي الرمال ,جنوبية,610,2213.0,1349930
2035,أرض,تجاري وسكني,الرياض, حي ظهرة لبن ,شمالية غربية,900,2100.0,1890000
2036,أرض,تجاري وسكني,الرياض, حي الرمال ,شمالية,1250,3500.0,4375000
2037,أرض,تجاري وسكني,الرياض, حي السعادة ,غربية,305,2500.0,762500
2038,أرض,تجاري,الرياض, حي العوالي ,شمالية شرقية,900,2222.0,1999800
2039,أرض,سكني,الرياض, حي الخليج ,شرقية,700,3300.0,2310000
2040,أرض,سكني,الرياض, حي الفاروق ,شمالية,640,3000.0,1920000
2041,أرض,سكني,الرياض, حي المروة ,أربع شوارع,2750,1500.0,4125000
2042,أرض,سكني,الرياض, حي النرجس ,جنوبية,1200,5000.0,6000000
2043,أرض,سكني,الرياض, حي النرجس ,جنوبية,450,588.0,264600
2044,أرض,تجاري وسكني,الرياض, الرياض ,جنوبية شرقية,508,800.0,406400
2045,أرض,تجاري وسكني,الرياض, الرياض ,شمالية شرقية,752,1595.0,1199440
2046,أرض,تجاري وسكني,الرياض, الرياض ,شرقية,375,1450.0,543750
2048,أرض,سكني,الرياض, حي الحزم ,غربية,720,2200.0,1584000
2050,أرض,سكني,الرياض, الرياض ,جنوبية,3541,2300.0,8144300
2051,أرض,سكني,الرياض, حي الحزم ,جنوبية,400,2250.0,900000
2053,أرض,سكني,الرياض, حي عكاظ ,جنوبية,756,376.0,284256
2054,أرض,سكني,الرياض, حي ضاحية نمار ,غربية,444,1126.0,499944
2055,أرض,سكني,الرياض, حي الملقا ,شمالية شرقية,1000,10000.0,10000000
2056,أرض,سكني,الرياض, شارع عبدالله بن العاص ,شمالية,448,4600.0,2060800
2058,أرض,سكني,الرياض, حي الندى ,شرقية,750,6500.0,4875000
2059,أرض,تجاري,الرياض, حي العارض ,جنوبية غربية,900,5500.0,4950000
2060,أرض,سكني,الرياض, حي ظهرة لبن ,غربية,900,2200.0,1980000
2061,أرض,سكني,الرياض, حي الرمال ,شمالية,402,2700.0,1085400
2062,أرض,سكني,الرياض, الرياض ,شرقية,2450,2400.0,5880000
2064,أرض,سكني,الرياض, الرياض ,شرقية,759,700.0,531300
2065,أرض,سكني,الرياض, الرياض ,غربية,1900,1650.0,3135000
2066,أرض,سكني,الرياض, الرياض ,شمالية,432,1504.0,649728
2067,أرض,سكني,الرياض, حي قرطبة ,شمالية,1375,4900.0,6737500
2069,أرض,سكني,الرياض, الرياض ,غربية,375,1400.0,525000
2070,أرض,سكني,الرياض, الرياض ,جنوبية,900,888.0,799200
2071,أرض,سكني,الرياض, حي عريض ,غربية,450,800.0,360000
2072,أرض,تجاري وسكني,الرياض, حي ظهرة لبن ,جنوبية,824,2100.0,1730400
2074,أرض,تجاري,الرياض, الرياض ,شرقية,375,1500.0,562500
2075,أرض,سكني,الرياض, الرياض ,شمالية,1080,648.0,699840
2076,أرض,سكني,الرياض, حي بنبان ,جنوبية,750,3500.0,2625000
2077,أرض,تجاري وسكني,الرياض, حي الروضة ,شرقية,600,4000.0,2400000
2078,أرض,تجاري وسكني,الرياض, حي البيان ,غربية,1900,2300.0,4370000
2079,أرض,تجاري وسكني,الرياض, حي البيان ,شمالية,930,806.0,749580
2081,أرض,سكني,الرياض, حي البديعة ,جنوبية شرقية,626,1837.0,1149962
2082,أرض,سكني,الرياض, حي الخليج ,جنوبية,750,3300.0,2475000
2083,أرض,تجاري,الرياض, حي اشبيلية ,جنوبية شرقية,1400,6000.0,8400000
2084,أرض,تجاري وسكني,الرياض, حي اشبيلية ,شمالية غربية,891,6000.0,5346000
2085,أرض,سكني,الرياض, حي عريض ,شرقية,405,986.0,399330
2088,أرض,تجاري وسكني,الرياض, حي ضاحية نمار ,شرقية,432,1157.0,499824
2089,أرض,سكني,الرياض, حي الربوة ,ثلاث شوارع,2508,3500.0,8778000
2090,أرض,سكني,الرياض, حي الخير ,شمالية,750,1280.0,960000
2091,أرض,سكني,الرياض, حي الخير ,شمالية,625,2150.0,1343750
2094,أرض,سكني,الرياض, حي الروضة ,غربية,1000,3500.0,3500000
2095,أرض,سكني,الرياض, حي العارض ,شمالية غربية,496,5200.0,2579200
2097,أرض,سكني,الرياض, حي لبن ,شمالية شرقية,1050,4500.0,4725000
2098,أرض,سكني,الرياض, الرياض ,جنوبية,900,750.0,675000
2099,أرض,سكني,الرياض, الرياض ,جنوبية,375,850.0,318750
2100,أرض,سكني,الرياض, حي العزيزية ,شمالية شرقية,2790,2000.0,5580000
2101,أرض,سكني,الرياض, ,جنوبية,300,2950.0,885000
2102,أرض,سكني,الرياض, ,شمالية غربية,838,500.0,419000
2103,أرض,سكني,الرياض, حي الدار البيضاء ,جنوبية شرقية,625,1500.0,937500
2104,أرض,سكني,الرياض, حي الدار البيضاء ,شرقية,650,1538.0,999700
2105,أرض,سكني,الرياض, حي ظهرة لبن ,شمالية,2400,3500.0,8400000
2106,أرض,تجاري,الرياض, حي المروج ,شرقية,1000,8000.0,8000000
2107,أرض,تجاري,الرياض, حي القادسية ,ثلاث شوارع,1608,3400.0,5467200
2109,أرض,تجاري,الرياض, حي الرمال ,جنوبية غربية,2250,1500.0,3375000
2110,أرض,سكني,الرياض, حي الجنادرية ,شرقية,375,2300.0,862500
2111,أرض,سكني,الرياض, حي طويق ,غربية,400,2250.0,900000
2112,أرض,تجاري,الرياض, حي اليرموك ,ثلاث شوارع,2880,4500.0,12960000
2113,أرض,سكني,الرياض, حي عريض ,شرقية,450,956.0,430200
2115,أرض,سكني,الرياض, حي الزاهر ,شمالية,936,801.0,749736
2117,أرض,سكني,الرياض, حي المصفاة ,شرقية,600,555.0,333000
2118,أرض,سكني,الرياض, الرياض ,جنوبية,750,1100.0,825000
2119,أرض,سكني,الرياض, حي الشرق ,شمالية,1850,500.0,925000
2120,أرض,سكني,الرياض, حي الشرق ,غربية,1561,1300.0,2029300
2121,أرض,سكني,الرياض, ,شرقية,432,926.0,400032
2122,أرض,سكني,الرياض, ,شمالية شرقية,644,6987.0,4499628
2123,أرض,سكني,الرياض, حي المهدية ,شمالية,456,3400.0,1550400
2124,أرض,تجاري,الرياض, حي المهدية ,جنوبية,900,7600.0,6840000
2127,أرض,سكني,الرياض, حي الخير ,جنوبية,840,1800.0,1512000
2128,أرض,سكني,الرياض, حي ضاحية نمار ,شمالية غربية,244,1434.0,349896
2129,أرض,سكني,الرياض, حي ضاحية نمار ,شمالية,880,1380.0,1214400
2130,أرض,سكني,الرياض, حي البيان ,غربية,810,2600.0,2106000
2131,أرض,تجاري وسكني,الرياض, حي المهدية ,شمالية شرقية,900,3334.0,3000600
2132,أرض,سكني,الرياض, حي المهدية ,جنوبية غربية,675,4296.0,2899800
2133,أرض,سكني,الرياض, القرينه ,جنوبية غربية,630,1000.0,630000
2134,أرض,تجاري وسكني,الرياض, الرياض ,جنوبية,900,720.0,648000
2135,أرض,تجاري وسكني,الرياض, ملهم ,غربية,630,1270.0,800100
2136,أرض,تجاري وسكني,الرياض, الرياض ,غربية,630,1270.0,800100
2137,أرض,تجاري وسكني,الرياض, الرياض ,شرقية,750,1500.0,1125000
2138,أرض,تجاري وسكني,الرياض, الرياض ,شمالية,500,4300.0,2150000
2139,أرض,سكني,الرياض, حي عريض ,ثلاث شوارع,400,1125.0,450000
2141,أرض,سكني,الرياض, حي الملقا ,غربية,636,7000.0,4452000
2144,أرض,سكني,الرياض, حي الحمراء ,شمالية,1125,5000.0,5625000
2145,أرض,تجاري وسكني,الرياض, حي الشفا ,جنوبية غربية,971,2059.0,1999289
2146,أرض,تجاري وسكني,الرياض, حي النظيم ,جنوبية شرقية,2500,2000.0,5000000
2147,أرض,تجاري وسكني,الرياض, حي الرمال ,جنوبية,457,2100.0,959700
2148,أرض,تجاري وسكني,الرياض, حي الدفاع ,جنوبية,457,2100.0,959700
2149,أرض,تجاري وسكني,الرياض, حي الدفاع ,شمالية,1173,511.0,599403
2150,أرض,تجاري,الرياض, الرياض ,جنوبية,2000,3500.0,7000000
2151,أرض,سكني,الرياض, حي العريجاء الغربية ,جنوبية,400,1500.0,600000
2152,أرض,تجاري وسكني,الرياض, حي ظهرة لبن ,جنوبية غربية,1050,2380.0,2499000
2153,أرض,تجاري وسكني,الرياض, حي العريجاء الغربي ,غربية,313,2000.0,626000
2154,أرض,سكني,الرياض, حي العريجاء الغربي ,جنوبية,472,1695.0,800040
