space,location,front,streetWidth,propertyAge,driverRoom,tent,patio,maidRoom,elevator,furnihsed,pool,basement,price
264,شمال الرياض,شمالية غربية,20.0,0,0,0,1,1,1,0,1,0,3000000.0
300,شرق الرياض,جنوبية,18.0,0,1,1,1,1,0,0,0,0,1400000.0
225,شرق الرياض,غربية,18.0,0,1,0,1,1,0,0,0,0,1200000.0
300,غرب الرياض,شرقية,15.0,0,0,1,1,1,0,0,1,0,1160000.0
250,شرق الرياض,شرقية,15.0,0,1,1,1,1,0,0,0,0,1100000.0
310,جنوب الرياض,غربية,18.0,0,0,0,0,0,0,0,0,0,920000.0
300,غرب الرياض,شمالية,20.0,0,0,1,1,0,0,0,0,0,1150000.0
300,جنوب الرياض,شمالية,20.0,0,0,0,0,0,0,0,0,0,900000.0
240,جنوب الرياض,شمالية,20.0,0,0,0,0,0,0,0,0,0,850000.0
281,جنوب الرياض,جنوبية,20.0,0,0,0,1,0,0,0,0,0,1050000.0
300,غرب الرياض,جنوبية,25.0,0,0,1,1,1,0,0,0,0,1250000.0
270,غرب الرياض,شمالية,20.0,0,1,1,1,1,0,0,0,0,1300000.0
281,شرق الرياض,جنوبية,15.0,0,1,0,1,1,0,0,0,0,1450000.0
370,جنوب الرياض,جنوبية غربية,20.0,7,1,1,1,1,0,1,0,0,1100000.0
240,شرق الرياض,جنوبية,15.0,0,0,0,1,1,0,0,0,0,1170000.0
300,جنوب الرياض,شرقية,18.0,0,0,1,1,0,0,0,0,0,1130000.0
234,جنوب الرياض,جنوبية غربية,20.0,0,0,1,0,1,0,1,0,0,1050000.0
375,غرب الرياض,شمالية,12.0,0,0,1,1,1,0,0,1,0,1300000.0
300,جنوب الرياض,غربية,15.0,0,0,0,1,1,0,0,0,0,1030000.0
300,جنوب الرياض,شمالية,16.0,0,0,1,1,1,0,0,0,0,900000.0
320,شرق الرياض,غربية,20.0,3,0,0,0,0,0,0,0,0,1400000.0
360,جنوب الرياض,شرقية,35.0,0,0,0,1,0,0,0,0,0,790000.0
375,غرب الرياض,جنوبية غربية,15.0,7,0,1,1,0,0,0,0,0,1370000.0
