نوع العقار,الغرض,المدينة,الحي,الواجهة,المساحة,سعر المتر,السعر الإجمالي
أرض,سكني,الرياض, حي النرجس ,شمالية,450.0,1700.0,765000.0
أرض,سكني,الرياض, حي العارض ,شمالية,300.0,2555.0,766500.0
أرض,سكني,الرياض, حي طويق ,شرقية,870.0,2555.0,2222850.0
أرض,سكني,الرياض, حي النرجس ,شمالية,450.0,2555.0,1149750.0
أرض,سكني,الرياض, حي ظهرة لبن ,أربع شوارع,900.0,3000.0,2700000.0
أرض,سكني,الرياض, حي ظهرة لبن ,جنوبية,2100.0,523.0,1098300.0
أرض,سكني,الرياض, حي منفوحة ,شرقية,328.0,1600.0,524800.0
أرض,سكني,الرياض, حي النرجس ,جنوبية,450.0,1600.0,720000.0
أرض,سكني,الرياض, حي النرجس ,جنوبية,825.0,390.0,321750.0
أرض,سكني,الرياض, حي القادسية ,شرقية,234.0,3000.0,702000.0
أرض,سكني,الرياض, حي الحزم ,شرقية,646.0,1476.0,953496.0
أرض,سكني,الرياض, حي المهدية ,جنوبية,900.0,1476.0,1328400.0
أرض,سكني,الرياض, حي المهدية ,غربية,750.0,1146.0,859500.0
أرض,سكني,الرياض, حي الرمال ,جنوبية شرقية,1450.0,1146.0,1661700.0
أرض,سكني,الرياض, العيينة ,شمالية,3903.0,2500.0,9757500.0
أرض,سكني,الرياض, حي عرقة ,ثلاث شوارع,1250.0,1785.0,2231250.0
أرض,سكني,الرياض, حي عرقة ,شمالية شرقية,980.0,2100.0,2058000.0
أرض,سكني,الرياض, حي النرجس ,شمالية غربية,900.0,4500.0,4050000.0
أرض,سكني,الرياض, حي العارض ,جنوبية,420.0,4100.0,1722000.0
أرض,سكني,الرياض, حي الملقا ,شمالية,590.0,7200.0,4248000.0
أرض,سكني,الرياض, حي المهدية ,جنوبية,384.0,7200.0,2764800.0
أرض,سكني,الرياض, حي بدر ,جنوبية,1062.0,2050.0,2177100.0
أرض,سكني,الرياض, حي المهدية ,جنوبية غربية,625.0,3500.0,2187500.0
أرض,سكني,الرياض, حي طويق ,شمالية,450.0,1793.0,806850.0
أرض,سكني,الرياض, القرينه ,غربية,630.0,1025.0,645750.0
أرض,سكني,الرياض, شارع سعيد بن عبدالله باقشير ,جنوبية غربية,625.0,4000.0,2500000.0
أرض,سكني,الرياض, شارع سعيد بن عبدالله باقشير ,شرقية,465.0,1226.0,570090.0
أرض,سكني,الرياض, حي نمار ,جنوبية,472.0,1475.0,696200.0
أرض,سكني,الرياض, حي المهدية ,جنوبية,625.0,4500.0,2812500.0
أرض,سكني,الرياض, حي النرجس ,شرقية,450.0,5800.0,2610000.0
أرض,سكني,الرياض, حي ظهرة لبن ,جنوبية,400.0,3750.0,1500000.0
أرض,سكني,الرياض, حي ظهرة لبن ,غربية,750.0,3750.0,2812500.0
أرض,سكني,الرياض, حي البرية ,جنوبية,690.0,690.0,476100.0
أرض,سكني,الرياض, حي عريض ,شمالية,400.0,690.0,276000.0
أرض,سكني,الرياض, حي العوالي ,جنوبية,750.0,1867.0,1400250.0
أرض,سكني,الرياض, حي العارض ,جنوبية,390.0,4500.0,1755000.0
أرض,سكني,الرياض, حي العارض ,جنوبية,996.0,2500.0,2490000.0
أرض,سكني,الرياض, حي الرمال ,جنوبية,275.0,3050.0,838750.0
